Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G0170	0	0	0	0	0
ZN651G0171	0	0	0	0	0
ZN651G0172	0	1	1	0	0
ZN651G0173	788	857	585	793	755
ZN651G0174	193	257	179	35	118
ZN651G0175	0	1	0	0	0
ZN651G0176	2	0	4	0	16
ZN651G0177	2950	1822	3035	366	964
ZN651G0178	387	241	162	12	53
ZN651G0179	21	5	8	0	1
ZN651G0180	88	11	33	2	1
ZN651G0181	11	26	18	10	553
ZN651G0182	863	770	1158	528	3118
ZN651G0183	80	88	95	117	537
ZN651G0184	1798	1667	1540	1252	5756
ZN651G0185	5	0	1	77	14
ZN651G0186	26	39	10	179	63
ZN651G0187	1059	2168	1110	5115	2562
ZN651G0188	0	0	0	0	0
ZN651G0189	95	73	58	18	17
ZN651G0190	0	0	0	0	0
ZN651G0191	0	0	0	0	0
ZN651G0192	0	0	1	0	1
ZN651G0193	2031	1103	1432	418	2714
ZN651G0194	210	209	334	379	817
ZN651G0195	12	33	25	6	131
ZN651G0196	0	0	0	0	0
ZN651G0197	1026	126	95	61	2228
ZN651G0198	0	0	0	0	0
ZN651G0199	3002	1723	1270	2682	3109
ZN651G0200	842	1130	610	351	3577
ZN651G0201	8545	5972	6027	2961	15272
ZN651G0202	170	175	267	212	253
ZN651G0203	14	3	14	14	34
ZN651G0204	1039	2808	3380	73	2947
ZN651G0205	2	7	4	3	1
ZN651G0206	0	0	0	0	0
ZN651G0207	0	0	0	0	1
ZN651G0208	415	108	109	122	565
ZN651G0209	78	130	132	111	67
ZN651G0210	299	263	577	46	55
ZN651G0211	501	534	411	494	748
ZN651G0212	1	13	7	1	3
ZN651G0213	0	0	0	0	1
ZN651G0214	7	2	3	4	2
ZN651G0215	186	318	283	676	253
ZN651G0216	1183	1467	1718	454	630
ZN651G0217	0	2	14	0	0
ZN651G0218	11	73	74	0	7
ZN651G0219	0	0	0	0	0
ZN651G0220	5	12	40	1	2
ZN651G0221	407	684	696	371	138
ZN651G0222	0	0	0	0	0
ZN651G0223	1514	4336	3338	406	387
ZN651G0224	0	0	2	0	0
ZN651G0225	3	17	5	4	2
ZN651G0226	609	954	1053	493	9519
ZN651G0227	0	0	0	0	1
ZN651G0228	938	1856	1323	2113	3211
ZN651G0229	1	0	8	2	2
ZN651G0230	0	2	2	5	6
ZN651G0231	2	4	4	3	4
ZN651G0232	0	0	0	0	0
ZN651G0233	10	8	6	21	8
ZN651G0234	4504	3984	3586	1548	3306
ZN651G0235	5	17	4	0	3
ZN651G0236	72	78	51	2	11
ZN651G0237	1012	535	465	155	144
ZN651G0238	121	116	132	18	11
ZN651G0239	132	182	156	47	59
ZN651G0240	13	49	17	20	10
ZN651G0241	9	9	11	1	5
ZN651G0242	50	38	27	76	37
ZN651G0243	293	416	503	33	452
ZN651G0244	284	166	56	417	371
ZN651G0245	58	104	131	74	21
ZN651G0246	0	0	0	0	0
ZN651G0247	1919	467	284	70	173
ZN651G0248	2366	2780	1610	1958	1882
