Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G3716	638	517	586	610	895
ZN651G3717	1068	551	663	167	1243
ZN651G3718	3	6	12	3	29
ZN651G3719	925	1789	1266	1446	2039
ZN651G3720	757	1536	1029	921	813
ZN651G3721	1353	1046	1334	1483	2618
ZN651G3722	0	0	0	1	2
ZN651G3723	22	161	139	92	73
ZN651G3724	160	288	213	128	670
ZN651G3725	185	369	270	364	107
ZN651G3726	1	0	2	0	0
ZN651G3727	0	2	2	0	0
ZN651G3728	218	367	241	232	229
ZN651G3729	0	0	0	0	0
ZN651G3730	3687	629	972	26	3286
ZN651G3731	0	1	0	1	1
ZN651G3732	7	10	7	3	5
ZN651G3733	5	6	3	0	0
ZN651G3734	1732	1445	838	2528	762
ZN651G3735	6	16	4	14	32
ZN651G3736	928	924	715	836	1090
ZN651G3737	948	1341	1013	992	1026
ZN651G3738	250	81	159	36	154
ZN651G3739	517	474	438	520	600
ZN651G3740	0	0	0	0	0
ZN651G3741	0	0	0	4	0
ZN651G3742	0	1	0	0	0
ZN651G3743	151	268	279	109	363
ZN651G3744	9	48	38	28	8
ZN651G3745	778	1545	1870	376	341
ZN651G3746	7074	9356	18465	3177	9038
ZN651G3747	869	988	794	604	2199
ZN651G3748	3539	3984	3109	44	2744
ZN651G3749	7	17	6	13	47
ZN651G3750	393	365	382	660	340
ZN651G3751	369	955	597	549	201
ZN651G3752	259	222	283	210	153
ZN651G3753	5	33	37	4	15
ZN651G3754	39	77	41	42	117
ZN651G3755	2	0	0	0	0
ZN651G3756	25	46	16	0	38
ZN651G3757	2	5	7	0	34
ZN651G3758	1142	690	712	717	1042
ZN651G3759	1644	1318	1153	384	572
ZN651G3760	0	0	0	0	0
ZN651G3761	1	0	0	0	0
ZN651G3762	280	252	247	48	15
ZN651G3763	0	0	2	1	0
ZN651G3764	192	155	98	93	362
ZN651G3765	1943	2271	1642	1420	2679
ZN651G3766	0	0	0	0	0
ZN651G3767	0	0	1	0	2
ZN651G3768	0	0	0	0	0
ZN651G3769	0	0	0	0	0
ZN651G3770	257	852	842	522	233
ZN651G3771	1390	977	1127	1242	1909
ZN651G3772	1	0	1	0	21
ZN651G3773	249	190	270	230	621
ZN651G3774	1522	786	966	512	875
ZN651G3775	245	142	105	30	7
ZN651G3776	122	53	40	2	4
ZN651G3777	0	0	0	0	0
ZN651G3778	3	1	2	0	0
ZN651G3779	0	0	0	0	0
ZN651G3780	173	222	166	268	261
ZN651G3781	4	8	13	0	0
ZN651G3782	0	0	0	0	0
ZN651G3783	0	0	0	0	0
ZN651G3784	0	1	1	0	0
ZN651G3785	3	8	4	7	51
ZN651G3786	136	183	148	217	66
ZN651G3787	1341	1144	910	1497	592
ZN651G3788	336	634	813	80	2340
ZN651G3789	0	0	0	0	0
ZN651G3790	1	0	1	0	1
ZN651G3791	526	512	815	202	117
ZN651G3792	0	2	0	0	0
ZN651G3793	0	0	0	0	0
ZN651G3794	77	50	130	13	39
ZN651G3795	0	0	0	0	0
ZN651G3796	0	0	0	0	0
ZN651G3797	0	0	0	0	0
ZN651G3798	42	21	55	69	175
ZN651G3799	256	214	382	33	657
ZN651G3800	113	245	151	148	120
ZN651G3801	6	5	13	0	6
ZN651G3802	0	2	1	2	1
ZN651G3803	33	39	37	44	22
ZN651G3804	0	0	0	0	0
ZN651G3805	220	235	204	348	425
ZN651G3806	18	55	77	2	0
ZN651G3807	119	128	132	156	110
ZN651G3808	0	0	0	0	0
ZN651G3809	0	0	0	0	0
ZN651G3810	0	0	0	0	0
ZN651G3811	115	164	119	211	206
ZN651G3812	3	2	8	1	21
ZN651G3813	1	1	0	2	1
ZN651G3814	1	1	8	2	8
ZN651G3815	2437	2040	2013	1659	3557
ZN651G3816	599	399	798	61	287
ZN651G3817	816	2744	5649	804	1027
ZN651G3818	209	174	233	38	341
ZN651G3819	12	6	5	9	18
ZN651G3820	1579	1114	1762	954	1247
ZN651G3821	4075	2198	2729	2457	5384
ZN651G3822	1	1	0	0	2
ZN651G3823	91	251	352	36	36
ZN651G3824	0	0	0	0	2
ZN651G3825	507	434	1649	51	19
ZN651G3826	1110	1424	1296	36	218
ZN651G3827	1038	765	1424	44	127
ZN651G3828	68	14	42	0	0
ZN651G3829	129	87	111	56	26
ZN651G3830	126	67	97	8	15
ZN651G3831	2469	1396	1824	1593	1142
ZN651G3832	464	412	292	398	424
ZN651G3833	0	0	0	0	0
ZN651G3834	393	344	350	222	285
ZN651G3835	3	4	0	0	6
ZN651G3836	1	0	0	0	0
ZN651G3837	1537	796	1856	972	4224
ZN651G3838	0	1	0	0	0
ZN651G3839	18	59	10	24	22
ZN651G3840	612	481	623	646	408
ZN651G3841	22	7	8	14	22
ZN651G3842	6	5	7	4	0
ZN651G3843	759	1127	1022	898	488
ZN651G3844	7	20	12	29	32
ZN651G3845	1	1	1	0	2
ZN651G3846	3	6	7	1	4
ZN651G3847	232	197	182	26	67
ZN651G3848	70	94	77	8	14
ZN651G3849	106	144	102	24	26
ZN651G3850	0	2	0	2	0
ZN651G3851	685	1004	714	242	288
ZN651G3852	0	0	0	0	0
ZN651G3853	68	191	143	0	41
ZN651G3854	474	452	404	513	436
ZN651G3855	0	0	0	0	0
ZN651G3856	10	17	11	4	11
ZN651G3857	381	180	257	124	483
ZN651G3858	11	18	12	9	14
ZN651G3859	138	11	45	845	107
ZN651G3860	0	0	0	0	0
ZN651G3861	0	0	0	0	0
ZN651G3862	1306	3615	2978	0	0
ZN651G3863	145	486	403	268	124
ZN651G3864	621	412	525	272	345
ZN651G3865	0	4	3	0	0
ZN651G3866	224	176	161	73	175
ZN651G3867	372	361	343	761	545
ZN651G3868	45	173	128	63	45
ZN651G3869	0	0	0	0	0
ZN651G3870	128	174	174	147	74
ZN651G3871	756	824	1038	355	354
ZN651G3872	0	0	0	0	0
ZN651G3873	31	6	4	1	40
ZN651G3874	0	0	0	0	0
ZN651G3875	1038	1246	1027	960	1959
ZN651G3876	38258	18577	17432	10983	9778
ZN651G3877	0	0	0	0	0
ZN651G3878	224	276	559	33	21
ZN651G3879	0	0	0	0	0
ZN651G3880	0	0	0	1	0
ZN651G3881	0	0	0	0	0
ZN651G3882	0	0	0	0	0
ZN651G3883	0	0	0	0	0
ZN651G3884	0	0	0	0	0
ZN651G3885	0	0	0	0	0
ZN651G3886	381	258	300	314	280
ZN651G3887	0	0	0	1	0
ZN651G3888	6	3	18	12	11
ZN651G3889	782	957	1102	445	801
ZN651G3890	21	44	31	52	47
ZN651G3891	6570	5971	6096	12226	3315
ZN651G3892	879	1735	1227	2114	464
ZN651G3893	69	77	93	77	52
ZN651G3894	4	6	5	144	15
ZN651G3895	699	1062	822	627	1034
ZN651G3896	206	592	660	436	476
ZN651G3897	54	849	835	41	190
ZN651G3898	212	222	282	190	186
ZN651G3899	421	506	841	108	1057
ZN651G3900	49	164	307	43	54
ZN651G3901	1	3	7	0	10
ZN651G3902	3	0	0	1	2
ZN651G3903	30	37	20	40	36
ZN651G3904	0	0	0	1	0
ZN651G3905	0	0	0	0	0
ZN651G3906	236	294	246	164	71
ZN651G3907	994	1342	1618	432	240
ZN651G3908	41	100	32	4	15
ZN651G3909	685	388	353	151	6
ZN651G3910	0	0	0	0	0
ZN651G3911	43	71	55	15	33
ZN651G3912	0	0	1	0	0
ZN651G3913	0	1	0	0	0
ZN651G3914	2742	2786	3762	1924	3699
ZN651G3915	0	0	0	1	0
ZN651G3916	0	4	0	0	6
ZN651G3917	0	0	0	0	0
ZN651G3918	42	38	33	18	24
ZN651G3919	0	0	0	0	0
ZN651G3920	0	0	0	0	0
ZN651G3921	0	0	0	0	0
ZN651G3922	197	167	175	282	154
ZN651G3923	358	391	384	419	479
ZN651G3924	704	1108	757	1314	1335
ZN651G3925	206	178	154	156	70
ZN651G3926	1002	2119	1031	2869	2558
ZN651G3927	0	6	0	1	0
ZN651G3928	247	407	387	288	97
ZN651G3929	32	64	85	79	37
ZN651G3930	6	14	30	13	14
ZN651G3931	35	61	61	13	7
ZN651G3932	0	0	0	0	0
ZN651G3933	1489	977	898	1473	1357
ZN651G3934	308	240	323	58	155
ZN651G3935	248	351	209	268	37
ZN651G3936	95	140	181	163	16
ZN651G3937	0	0	0	0	0
ZN651G3938	111	131	133	257	21
ZN651G3939	318	392	279	98	564
ZN651G3940	41	29	36	0	114
ZN651G3941	129	60	43	31	237
ZN651G3942	1425	639	536	403	1102
ZN651G3943	2	1	3	2	9
ZN651G3944	0	0	0	0	0
ZN651G3945	0	0	1	2	4
ZN651G3946	11	47	53	100	70
ZN651G3947	0	0	0	0	0
ZN651G3948	218	195	262	234	200
ZN651G3949	73	172	223	38	17
ZN651G3950	48	91	75	64	56
ZN651G3951	5	9	18	6	80
ZN651G3952	2572	1525	1492	2835	6742
ZN651G3953	313	392	271	518	488
ZN651G3954	0	53	20	1	3
ZN651G3955	717	1001	1546	0	5
ZN651G3956	2243	1603	1607	1241	1074
ZN651G3957	235	390	349	522	487
ZN651G3958	0	3	4	0	0
ZN651G3959	0	0	0	0	0
ZN651G3960	13	30	42	3	14
ZN651G3961	20	58	57	22	74
ZN651G3962	4445	4680	5089	996	5434
ZN651G3963	224	299	336	20	205
ZN651G3964	1882	1236	1934	873	1191
ZN651G3965	458	260	321	335	236
ZN651G3966	334	188	247	1331	1520
ZN651G3967	1334	1678	1148	1946	1332
ZN651G3968	2185	1796	2005	2547	3721
ZN651G3969	39	43	46	30	58
ZN651G3970	11	42	31	10	47
ZN651G3971	2434	1112	1479	166	2364
ZN651G3972	1101	2144	1241	1349	1749
ZN651G3973	0	0	0	0	0
ZN651G3974	54	66	103	59	6
ZN651G3975	0	4	4	3	0
ZN651G3976	1	0	0	11	5
ZN651G3977	454	369	309	445	695
ZN651G3978	353	435	445	1026	171
ZN651G3979	0	0	0	4	0
ZN651G3980	0	3	0	2	4
ZN651G3981	0	0	0	0	0
ZN651G3982	0	0	0	0	0
ZN651G3983	0	0	0	0	0
ZN651G3984	56	69	46	12	7
ZN651G3985	0	0	0	0	0
ZN651G3986	2320	4714	3485	2784	8698
ZN651G3987	690	852	854	477	123
ZN651G3988	1002	1379	822	1673	821
ZN651G3989	15	26	23	18	53
ZN651G3990	0	0	0	0	0
ZN651G3991	64	107	102	97	282
ZN651G3992	18	38	15	5	147
ZN651G3993	213	290	217	114	800
ZN651G3994	2002	4635	2933	2461	3650
ZN651G3995	0	0	0	0	0
ZN651G3996	1122	725	645	970	1284
ZN651G3997	70	50	42	11	7
ZN651G3998	3	4	17	0	2
ZN651G3999	105	184	199	263	43
ZN651G4000	0	0	0	0	1
ZN651G4001	670	550	918	722	780
ZN651G4002	978	688	1265	780	1129
ZN651G4003	1099	1214	1614	198	3396
ZN651G4004	66	42	35	18	72
ZN651G4005	1918	2185	1556	1917	2076
ZN651G4006	7	0	0	103	0
ZN651G4007	0	0	0	0	0
ZN651G4008	64	6	8	0	11
ZN651G4009	0	0	0	0	0
ZN651G4010	0	0	0	0	0
ZN651G4011	6	2	5	0	0
ZN651G4012	5	4	4	0	1
ZN651G4013	0	0	0	0	0
ZN651G4014	3013	4186	5997	82	11135
ZN651G4015	0	0	0	0	0
ZN651G4016	369	1478	1858	159	3776
ZN651G4017	168	236	143	312	590
ZN651G4018	670	534	458	765	630
ZN651G4019	42	34	56	26	12
ZN651G4020	5	16	4	37	11
ZN651G4021	35	10	10	0	24
ZN651G4022	1248	969	814	728	415
ZN651G4023	0	0	0	2	3
ZN651G4024	0	0	0	32	8
ZN651G4025	185	195	299	2089	590
ZN651G4026	0	8	24	0	0
ZN651G4027	0	0	0	0	0
ZN651G4028	11	11	11	28	2
ZN651G4029	156	218	183	13	13
ZN651G4030	565	701	749	834	1465
ZN651G4031	15	23	36	40	172
ZN651G4032	15	73	53	28	6
ZN651G4033	0	0	0	1	0
ZN651G4034	110	5	8	13254	54
ZN651G4035	46	15	9	14	53
ZN651G4036	0	0	0	0	2
ZN651G4037	1289	967	1041	61	2063
ZN651G4038	201	68	192	3	92
ZN651G4039	0	0	0	0	1
ZN651G4040	0	0	0	0	0
ZN651G4041	1	2	0	0	0
ZN651G4042	3	9	1	20	5
ZN651G4043	60	70	53	354	37
ZN651G4044	42	44	38	209	31
ZN651G4045	333	286	258	386	179
ZN651G4046	413	433	365	167	204
ZN651G4047	2	7	1	0	1
ZN651G4048	0	0	2	0	0
ZN651G4049	90	241	115	2387	1097
ZN651G4050	0	0	0	0	0
ZN651G4051	697	761	650	677	633
ZN651G4052	919	214	346	571	338
ZN651G4053	14	10	7	39	7
ZN651G4054	226	99	152	159	73
ZN651G4055	0	0	0	0	0
ZN651G4056	11463	10532	16898	1194	5678
ZN651G4057	0	2	0	0	0
ZN651G4058	6	19	18	2	1
ZN651G4059	1099	519	247	3993	79
ZN651G4060	230	139	147	307	59
ZN651G4061	2	1	2	1	1
ZN651G4062	71	54	51	25	309
ZN651G4063	263	323	178	704	168
ZN651G4064	123	106	73	87	30
ZN651G4065	5	3	2	0	1
ZN651G4066	181	48	59	1075	599
ZN651G4067	4	1	5	5	4
ZN651G4068	132	105	108	147	77
ZN651G4069	0	0	0	0	0
ZN651G4070	0	0	15	9	16
ZN651G4071	0	0	0	0	0
ZN651G4072	162	240	184	147	380
ZN651G4073	8	27	44	5	3
ZN651G4074	0	0	0	0	0
ZN651G4075	0	0	0	0	0
ZN651G4076	0	0	0	0	0
ZN651G4077	78	69	77	56	68
ZN651G4078	0	0	0	0	1
ZN651G4079	0	4	0	3	0
ZN651G4080	6	11	24	10	16
ZN651G4081	0	0	1	0	2
ZN651G4082	421	56	115	5307	1002
ZN651G4083	148	86	106	618	236
ZN651G4084	323	292	291	422	298
ZN651G4085	676	579	623	413	186
ZN651G4086	256	118	119	102	1432
ZN651G4087	0	0	0	0	0
ZN651G4088	3377	1791	2334	470	2798
ZN651G4089	1	0	0	25	0
ZN651G4090	0	0	0	0	0
ZN651G4091	697	654	646	729	919
ZN651G4092	1072	515	480	15	106
ZN651G4093	579	503	559	703	280
ZN651G4094	8	6	11	0	1
ZN651G4095	1032	694	841	491	566
ZN651G4096	176	292	322	50	1045
ZN651G4097	214	35	38	2	1694
ZN651G4098	0	1	0	0	0
ZN651G4099	570	601	335	82	794
ZN651G4100	152	150	84	164	168
ZN651G4101	857	613	938	646	665
ZN651G4102	2790	1660	1882	2677	1694
ZN651G4103	1570	914	1185	188	2265
ZN651G4104	229	150	114	0	155
ZN651G4105	326	221	270	277	247
ZN651G4106	1916	1423	1054	1169	1687
ZN651G4107	1383	1284	1137	1729	1060
ZN651G4108	0	0	0	0	0
ZN651G4109	0	0	0	0	3
ZN651G4110	96	139	137	237	450
ZN651G4111	0	0	0	0	0
ZN651G4112	1474	1341	945	1005	2637
ZN651G4113	0	0	0	0	0
ZN651G4114	211	256	280	420	283
ZN651G4115	1029	788	1060	1204	1537
ZN651G4116	1316	745	985	1188	1183
ZN651G4117	467	362	399	1076	791
ZN651G4118	0	0	0	0	0
ZN651G4119	241	737	454	215	333
ZN651G4120	0	0	0	0	0
ZN651G4121	0	0	0	0	0
ZN651G4122	15	78	25	253	53
ZN651G4123	1960	1205	1135	778	520
ZN651G4124	0	1	0	0	0
ZN651G4125	77	107	77	92	28
ZN651G4126	121	208	126	43	34
ZN651G4127	161	395	468	968	402
ZN651G4128	0	0	1	0	1
ZN651G4129	422	740	498	644	437
ZN651G4130	15	4	4	8	83
ZN651G4131	0	0	0	0	0
ZN651G4132	1	0	1	4	34
ZN651G4133	3133	1912	1848	1033	5386
ZN651G4134	36	17	12	1	11
ZN651G4135	2601	2252	2372	238	1232
ZN651G4136	0	0	0	0	0
ZN651G4137	4	17	14	44	44
ZN651G4138	87	200	92	49	292
ZN651G4139	930	1263	1081	421	1113
ZN651G4140	14	10	7	9	25
ZN651G4141	1393	1468	1610	1058	2020
ZN651G4142	0	0	0	1	1
ZN651G4143	1171	544	552	393	1858
ZN651G4144	8	9	5	11	21
ZN651G4145	2688	1797	1384	2940	2906
ZN651G4146	974	1211	1040	864	1204
ZN651G4147	0	0	0	0	0
ZN651G4148	0	0	0	0	0
ZN651G4149	0	0	0	0	0
ZN651G4150	122	330	260	343	45
ZN651G4151	11	33	10	26	16
ZN651G4152	148	45	75	21	31
ZN651G4153	172	204	201	319	201
ZN651G4154	276	191	223	303	340
ZN651G4155	0	0	0	0	5
ZN651G4156	652	110	168	7	2285
ZN651G4157	17	250	421	30	409
ZN651G4158	162	189	221	309	532
ZN651G4159	2	8	3	0	5
ZN651G4160	466	835	702	521	2327
ZN651G4161	1896	1330	1666	1271	14810
ZN651G4162	5	0	7	11	4
ZN651G4163	0	1	1	8	0
ZN651G4164	375	245	422	3221	3082
ZN651G4165	697	683	443	906	1342
ZN651G4166	219	11	13	1	1
ZN651G4167	477	339	275	573	968
ZN651G4168	90	57	147	57	49
ZN651G4169	0	0	0	0	0
ZN651G4170	0	1	0	0	1
ZN651G4171	291	243	542	221	83
ZN651G4172	60	68	57	4	30
ZN651G4173	915	872	904	808	553
ZN651G4174	0	0	0	0	0
ZN651G4175	369	548	414	349	929
ZN651G4176	190	360	453	207	931
ZN651G4177	10396	9144	16485	1461	2663
ZN651G4178	694	1237	1213	1176	783
ZN651G4179	0	0	0	0	0
ZN651G4180	36	50	8	13	193
ZN651G4181	7815	5614	2273	3362	13367
ZN651G4182	0	11	10	2	78
ZN651G4183	0	3	0	0	6
ZN651G4184	39	117	63	84	278
ZN651G4185	21	44	48	15	52
ZN651G4186	0	0	0	0	0
ZN651G4187	63	66	109	17	16
ZN651G4188	0	3	0	0	0
ZN651G4189	0	3	0	0	0
ZN651G4190	5	6	11	0	2
ZN651G4191	28	73	71	73	46
ZN651G4192	100	144	149	97	64
ZN651G4193	0	0	0	0	1
ZN651G4194	0	0	0	0	0
ZN651G4195	273	165	336	119	63
ZN651G4196	362	342	319	183	427
ZN651G4197	329	424	424	38	175
ZN651G4198	18	18	4	1	11
ZN651G4199	1666	1716	1580	669	770
ZN651G4200	125	145	92	7	61
ZN651G4201	1091	1148	1386	93	3056
ZN651G4202	0	0	0	0	0
ZN651G4203	0	0	0	0	1
ZN651G4204	0	0	0	0	0
ZN651G4205	0	0	0	0	0
ZN651G4206	0	0	0	0	0
ZN651G4207	0	0	0	0	0
ZN651G4208	2937	683	309	2807	2843
ZN651G4209	1	0	0	4	1
ZN651G4210	214	378	364	623	414
ZN651G4211	0	0	1	0	0
ZN651G4212	91	164	155	166	121
ZN651G4213	321	39	40	1157	45
ZN651G4214	1480	1376	1328	902	921
ZN651G4215	40	243	221	79	17
ZN651G4216	4031	1624	1930	990	540
ZN651G4217	93	93	159	36	97
ZN651G4218	7	19	15	33	31
ZN651G4219	26	143	71	1042	1587
ZN651G4220	93	281	233	275	381
ZN651G4221	67	102	57	59	26
ZN651G4222	231	296	71	92	97
ZN651G4223	52	102	28	79	67
ZN651G4224	353	553	738	114	163
ZN651G4225	0	0	0	0	0
ZN651G4226	1	2	4	0	2
ZN651G4227	123	68	47	19	860
ZN651G4228	332	354	272	98	639
ZN651G4229	626	465	628	116	629
ZN651G4230	0	3	2	0	13
ZN651G4231	19	20	34	21	17
ZN651G4232	0	0	0	0	0
ZN651G4233	118	162	144	1361	2436
ZN651G4234	3095	1842	1958	451	6326
ZN651G4235	0	0	0	0	0
ZN651G4236	262	347	242	232	700
ZN651G4237	12	26	24	3	9
ZN651G4238	99	261	136	207	31
ZN651G4239	546	3428	5132	9	77
ZN651G4240	9	3	8	0	0
ZN651G4241	0	0	0	0	0
ZN651G4242	0	0	0	0	0
ZN651G4243	229	97	109	1158	173
ZN651G4244	720	459	437	122	265
ZN651G4245	1454	2583	3160	1224	1855
ZN651G4246	0	0	0	0	0
ZN651G4247	21	80	244	32	2
ZN651G4248	118	149	185	161	107
ZN651G4249	161	30	59	27	23
ZN651G4250	2450	4464	2950	6619	2461
ZN651G4251	392	832	808	252	167
ZN651G4252	499	547	384	212	103
ZN651G4253	6	2	4	2	1
ZN651G4254	0	0	0	0	0
ZN651G4255	0	0	0	0	0
ZN651G4256	0	0	0	0	0
ZN651G4257	1176	752	818	591	470
ZN651G4258	26	97	28	25	43
ZN651G4259	16	3	4	6	13
ZN651G4260	0	1	2	0	0
ZN651G4261	1963	2091	1910	1763	786
ZN651G4262	0	0	0	2	1
ZN651G4263	6	20	17	11	3
ZN651G4264	161	175	224	659	331
ZN651G4265	602	581	839	577	409
ZN651G4266	26	38	51	615	548
ZN651G4267	0	0	0	0	0
ZN651G4268	1	3	0	1	0
ZN651G4269	0	0	0	0	0
ZN651G4270	0	0	0	0	0
ZN651G4271	13	44	39	7	33
ZN651G4272	0	0	0	0	0
ZN651G4273	0	0	0	4	4
ZN651G4274	584	1526	743	3810	1064
ZN651G4275	0	0	0	0	0
ZN651G4276	0	0	0	0	0
ZN651G4277	4305	4973	6411	259	7813
ZN651G4278	30	43	58	73	54
ZN651G4279	0	0	0	0	0
ZN651G4280	459	951	1271	363	686
ZN651G4281	139	243	210	329	450
ZN651G4282	752	486	679	548	459
ZN651G4283	145	103	112	766	113
ZN651G4284	596	636	340	528	592
ZN651G4285	86	102	145	148	36
ZN651G4286	38	138	171	153	220
ZN651G4287	306	348	492	408	2243
ZN651G4288	110	279	187	34	9
ZN651G4289	9	43	58	28	157
ZN651G4290	1355	731	845	905	1172
ZN651G4291	90	188	73	88	78
ZN651G4292	476	459	449	438	191
ZN651G4293	598	861	529	877	985
ZN651G4294	10	3	0	2	33
ZN651G4295	2224	202	276	376	3475
ZN651G4296	393	335	369	507	452
ZN651G4297	203	240	237	140	392
ZN651G4298	331	291	310	136	735
ZN651G4299	124	14	10	10	497
ZN651G4300	82	107	44	105	21
ZN651G4301	2649	1305	2003	1932	353
ZN651G4302	9	6	1	0	5
ZN651G4303	456	297	268	403	501
ZN651G4304	125	86	145	42	11
ZN651G4305	615	633	590	401	584
ZN651G4306	0	0	0	0	0
ZN651G4307	299	418	426	427	644
ZN651G4308	4	7	3	76	95
ZN651G4309	527	463	732	93	2556
ZN651G4310	33	12	34	23	324
ZN651G4311	17	16	60	9	32
ZN651G4312	3390	2619	2757	405	47528
ZN651G4313	4	10	12	2	29
ZN651G4314	125	83	141	61	63
ZN651G4315	0	0	0	0	0
ZN651G4316	1	11	13	0	0
ZN651G4317	0	0	0	0	0
ZN651G4318	16	64	114	6	55
ZN651G4319	21	23	28	98	35
ZN651G4320	776	552	518	587	337
ZN651G4321	381	548	357	1733	327
ZN651G4322	291	354	218	408	772
ZN651G4323	0	0	0	0	1
ZN651G4324	331	71	91	38	138
ZN651G4325	1	0	0	1	0
ZN651G4326	20412	7760	5801	155	8231
ZN651G4327	6	1	0	0	1
ZN651G4328	0	0	0	0	0
ZN651G4329	0	0	0	0	0
ZN651G4330	1494	1202	702	799	663
ZN651G4331	6050	1153	1987	399	5943
ZN651G4332	296	317	257	386	263
ZN651G4333	0	13	4	0	1
ZN651G4334	0	0	0	0	0
ZN651G4335	1	0	2	0	0
ZN651G4336	0	0	0	0	0
ZN651G4337	2210	491	581	433	1335
ZN651G4338	16	20	21	1	1
ZN651G4339	55	62	31	30	46
ZN651G4340	5489	3453	4760	1655	2711
ZN651G4341	10	2	1	4	7
ZN651G4342	54	346	247	102	65
ZN651G4343	0	7	2	3	1
ZN651G4344	0	0	0	0	0
ZN651G4345	778	397	567	155	251
ZN651G4346	0	0	0	0	0
ZN651G4347	36	56	55	142	68
ZN651G4348	0	0	0	0	0
ZN651G4349	390	402	447	1187	309
ZN651G4350	26	60	105	10	176
ZN651G4351	0	0	0	0	0
ZN651G4352	0	0	0	0	0
ZN651G4353	4	3	1	0	16
ZN651G4354	11877	6186	8744	7845	18040
ZN651G4355	155	198	217	217	580
ZN651G4356	3123	1817	1991	1307	4489
ZN651G4357	1066	2745	3387	8775	1787
ZN651G4358	17	16	15	9	23
ZN651G4359	493	447	738	1252	960
ZN651G4360	298	393	370	421	320
ZN651G4361	0	1	2	0	0
ZN651G4362	0	4	0	3	0
ZN651G4363	469	749	719	413	675
ZN651G4364	0	0	0	0	0
ZN651G4365	581	843	620	637	237
ZN651G4366	1240	948	874	280	820
ZN651G4367	0	0	0	0	0
ZN651G4368	667	419	394	427	372
ZN651G4369	323	269	284	218	740
ZN651G4370	318	776	574	820	426
ZN651G4371	4205	2034	1804	845	2342
ZN651G4372	1410	83	33	39	6506
ZN651G4373	0	0	0	0	0
ZN651G4374	1	0	0	0	0
ZN651G4375	843	635	597	639	375
ZN651G4376	4	36	15	15	14
ZN651G4377	0	0	0	0	0
ZN651G4378	0	0	0	0	0
ZN651G4379	0	0	0	0	0
ZN651G4380	7	57	51	0	3
ZN651G4381	1332	1746	1309	1136	498
ZN651G4382	3	6	7	5	4
ZN651G4383	106	107	59	215	148
ZN651G4384	2	11	28	3	1
ZN651G4385	0	17	2	85	128
ZN651G4386	66	125	91	60	35
ZN651G4387	706	640	537	717	1299
ZN651G4388	1077	4316	3563	39945	4768
ZN651G4389	463	738	883	1146	473
ZN651G4390	537	648	437	367	332
ZN651G4391	66	217	160	189	23
ZN651G4392	27	31	46	159	95
ZN651G4393	7	8	0	274	49
ZN651G4394	107	197	118	412	109
ZN651G4395	4	2	2	9	38
ZN651G4396	169	484	289	268	131
ZN651G4397	59	203	51	72	74
ZN651G4398	19447	16998	11458	8604	4905
ZN651G4399	230	509	425	314	296
ZN651G4400	255	239	252	183	191
ZN651G4401	1	2	1	1	0
ZN651G4402	2392	7513	5214	437	318
ZN651G4403	2064	4244	2261	2	1
ZN651G4404	239	920	1550	6	162
ZN651G4405	89	339	293	5	37
ZN651G4406	515	1611	1625	47	438
ZN651G4407	279	493	255	104	121
ZN651G4408	406	408	529	147	124
ZN651G4409	74	607	459	18	54
ZN651G4410	3040	4136	2904	2065	4206
ZN651G4411	1252	1864	1618	623	388
ZN651G4412	0	0	0	0	0
ZN651G4413	0	1	0	0	0
ZN651G4414	286	418	385	349	230
ZN651G4415	0	0	0	0	0
ZN651G4416	0	0	0	0	0
ZN651G4417	0	0	0	0	0
ZN651G4418	1071	891	1024	653	576
ZN651G4419	176	560	263	579	211
ZN651G4420	3155	2999	2891	1539	2193
ZN651G4421	0	0	0	0	0
ZN651G4422	561	1231	894	1052	475
ZN651G4423	1142	850	1675	785	2581
ZN651G4424	2645	2333	3093	125	926
ZN651G4425	1050	928	1032	175	511
ZN651G4426	1412	1108	1142	1874	4101
ZN651G4427	37	39	27	11	9
ZN651G4428	0	0	0	0	0
ZN651G4429	3	14	71	4	1
ZN651G4430	438	392	521	621	274
ZN651G4431	38	126	73	2	23
ZN651G4432	0	0	1	2	0
ZN651G4433	57	247	416	23	9
ZN651G4434	0	1	0	0	0
ZN651G4435	0	0	0	0	1
ZN651G4436	1	25	61	0	98
ZN651G4437	2046	1055	685	356	4135
ZN651G4438	1007	1101	1373	659	519
ZN651G4439	107	85	47	86	43
ZN651G4440	0	0	0	0	0
ZN651G4441	0	0	0	0	0
ZN651G4442	39	180	159	12	27
ZN651G4443	6	8	22	23	9
ZN651G4444	17	44	29	80	52
ZN651G4445	380	562	452	510	418
ZN651G4446	3	2	3	0	4
ZN651G4447	1363	1126	1483	1465	1121
ZN651G4448	7	22	6	18	24
ZN651G4449	3	5	2	8	15
ZN651G4450	29	137	94	33	5
ZN651G4451	24	27	28	10	16
ZN651G4452	0	0	0	0	1
ZN651G4453	28	324	295	110	290
ZN651G4454	5	20	20	46	9
ZN651G4455	228	158	232	36	50
ZN651G4456	473	607	831	359	2722
ZN651G4457	34	1	10	0	1
ZN651G4458	29	14	22	17	43
ZN651G4459	23	12	16	4	7
ZN651G4460	310	341	351	340	380
ZN651G4461	90	139	122	83	96
ZN651G4462	0	0	0	0	1
ZN651G4463	0	0	0	0	0
ZN651G4464	0	0	0	0	0
